End of Period,S$ Per Unit of US Dollar,3-MONTH US$ SIBOR,A-REIT,AscottREIT,CCT,CMT,FrasersCT,K-REIT
2010-09,1.3175,0.29,2.19,1.15,1.48,1.85,1.48,1.29
2010-10,1.2987,0.29,2.06,1.27,1.49,1.6,1.51,1.35
2010-11,1.3191,0.3,2.08,1.2,1.49,1.72,1.41,1.4
2010-12,1.2875,0.3,2.07,1.22,1.5,1.8,1.5,1.41
2011-01,1.2865,0.31,2.09,1.19,1.43,1.69,1.51,1.39
2011-02,1.2738,0.31,2,1.17,1.38,1.77,1.51,1.28
2011-03,1.2617,0.31,2.04,1.2,1.39,1.77,1.52,1.29
2011-04,1.2277,0.28,2.03,1.19,1.44,1.96,1.48,1.31
2011-05,1.2328,0.26,2.06,1.17,1.47,1.82,1.49,1.29
2011-06,1.2292,0.25,2.04,1.18,1.45,1.84,1.53,1.33
2011-07,1.2041,0.25,2.04,1.185,1.41,1.91,1.54,1.32
2011-08,1.2046,0.33,2.12,1.115,1.195,1.94,1.43,1.155
2011-09,1.3003,0.37,2.03,1.01,1.01,2.15,1.44,1.005
2011-10,1.2502,0.43,2.05,1.05,1.13,1.98,1.48,0.985
2011-11,1.2956,0.53,2.04,0.955,1.065,1.84,1.44,0.865
2011-12,1.3007,0.58,1.83,0.99,1.055,1.95,1.44,0.83
2012-01,1.2547,0.55,1.865,0.99,1.075,1.9,1.435,0.88
2012-02,1.2474,0.49,2.06,1.065,1.185,1.81,1.51,0.925
2012-03,1.2572,0.47,2.02,1.065,1.22,1.88,1.52,0.965
2012-04,1.2372,0.47,2.08,1.12,1.29,1.89,1.595,1
2012-05,1.2882,0.47,2.05,1.05,1.23,2,1.625,0.98
2012-06,1.2737,0.46,2.15,1.085,1.265,1.87,1.665,1.065
2012-07,1.2454,0.44,2.27,1.225,1.34,1.885,1.8,1.11
2012-08,1.2523,0.43,2.36,1.25,1.42,1.87,1.785,1.12
2012-09,1.2254,0.37,2.41,1.255,1.495,1.83,1.81,1.185
2012-10,1.2205,0.32,2.36,1.275,1.57,1.875,1.955,1.19
2012-11,1.2209,0.31,2.4,1.32,1.62,1.745,1.985,1.23
2012-12,1.2221,0.31,2.37,1.36,1.685,1.7,2,1.295
2013-01,1.2389,0.3,2.53,1.385,1.665,1.71,1.94,1.37
2013-02,1.2363,0.29,2.57,1.345,1.66,1.8,2.05,1.34
2013-03,1.2436,0.28,2.6,1.38,1.585,1.805,2.14,1.36
2013-04,1.2342,0.28,2.75,1.405,1.71,1.8,2.25,1.51
2013-05,1.2613,0.28,2.32,1.345,1.52,1.815,2.03,1.42
2013-06,1.2652,0.28,2.23,1.29,1.465,1.91,1.87,1.295
2013-07,1.2738,0.27,2.3,1.255,1.405,1.96,1.92,1.27
