Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-75 ,38,Strata,730000,19211,1785,21-JUN-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
SULTAN PLAZA,100 Jalan Sultan  #04-42 ,22,Strata,230000,10455,971,20-JUN-2012,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
PEOPLE'S PARK COMPLEX,1 Park Road  #02-117 ,32,Strata,1040000,32500,3019,15-JUN-2012,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #01-K31 ,16,Strata,580000,36250,3368,14-JUN-2012,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
ORCHARD PLAZA,150 Orchard Road  #02-23 ,23,Strata,680000,29565,2747,12-JUN-2012,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
SIM LIM SQUARE,1 Rochor Canal Road  #03-01 ,130,Strata,4000000,30769,2859,12-JUN-2012,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #03-41 ,32,Strata,510000,15938,1481,12-JUN-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
THE BENCOOLEN,180 Bencoolen Street  #01-63 ,21,Strata,1080000,51429,4778,11-JUN-2012,Retail,99 Yrs From 24/06/1995,Resale,07,18,189646,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #01-48 ,69,Strata,935000,13551,1259,08-JUN-2012,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17G ,35,Strata,653000,18657,1733,08-JUN-2012,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
