Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PARKWAY CENTRE,1 Marine Parade Central  #03-09 ,126,Strata,2440800,19371,1800,11-JUL-2018,Retail,99 Yrs From 23/07/1981,Resale,15,44,449408,Central Region,Marine Parade
GOLDEN MILE TOWER,6001 Beach Road  #01-20 ,22,Strata,400000,18182,1689,09-JUL-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
AFFINITY AT SERANGOON,28 Serangoon North Avenue 1  #01-62 ,45,Strata,1408000,31289,2907,04-JUL-2018,Retail,99 Yrs From 18/05/2018,New Sale,19,55,554341,North East Region,Serangoon
CONCORDE SHOPPING CENTRE,317 Outram Road  #01-38 ,33,Strata,625000,18939,1760,03-JUL-2018,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
AFFINITY AT SERANGOON,28 Serangoon North Avenue 1  #01-60 ,48,Strata,1429505,29781,2767,02-JUL-2018,Retail,99 Yrs From 18/05/2018,New Sale,19,55,554341,North East Region,Serangoon
AFFINITY AT SERANGOON,28 Serangoon North Avenue 1  #01-64 ,51,Strata,1518000,29765,2765,29-JUN-2018,Retail,99 Yrs From 18/05/2018,New Sale,19,55,554341,North East Region,Serangoon
GOLDEN MILE TOWER,6001 Beach Road  #02-09 ,24,Strata,360000,15000,1394,28-JUN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #01-44 ,69,Strata,1400000,20290,1885,27-JUN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CONCORDE SHOPPING CENTRE,317 Outram Road  #B1-17 ,26,Strata,300000,11538,1072,26-JUN-2018,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
CITY GATE,371 Beach Road  #02-41 ,45,Strata,2230000,49556,4604,22-JUN-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SUNSHINE PLAZA,91 Bencoolen Street  #01-75 ,26,Strata,1230000,47308,4395,21-JUN-2018,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
HIGH STREET CENTRE,1 North Bridge Road  #02-11/28 ,58,Strata,813000,14017,1302,18-JUN-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
ORCHARD PLAZA,150 Orchard Road  #02-16 ,53,Strata,1050000,19811,1841,13-JUN-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
GOLDEN MILE TOWER,6001 Beach Road  #02-51 ,17,Strata,260000,15294,1421,13-JUN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #01-07 ,31,Strata,601200,19394,1802,08-JUN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #04-03 ,37,Strata,500000,13514,1255,07-JUN-2018,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
CONCORDE SHOPPING CENTRE,317 Outram Road  #01-49 ,37,Strata,580000,15676,1456,31-MAY-2018,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
EASTWOOD CENTRE,20 Eastwood Road  #01-16 ,51,Strata,980000,19216,1785,30-MAY-2018,Retail,99 Yrs From 06/11/1995,Resale,16,48,486442,East Region,Bedok
HIGH STREET CENTRE,1 North Bridge Road  #01-01 ,25,Strata,497000,19880,1847,28-MAY-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
SULTAN PLAZA,100 Jalan Sultan  #04-51 ,44,Strata,710418,16146,1500,28-MAY-2018,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #02-10 ,57,Strata,760000,13333,1239,28-MAY-2018,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
INTERNATIONAL PLAZA,10 Anson Road  #02-01/55/56/57/58 ,136,Strata,3403800,25028,2325,28-MAY-2018,Retail,99 Yrs From 02/06/1970,Resale,02,07,079903,Central Region,Downtown Core
CITY GATE,371 Beach Road  #B1-16 ,39,Strata,1699000,43564,4047,15-MAY-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
JUNCTION NINE,18 Yishun Avenue 9  #01-25 ,31,Strata,1400000,45161,4196,14-MAY-2018,Retail,99 Yrs From 30/04/2013,Resale,27,76,768897,North Region,Yishun
HIGH STREET CENTRE,1 North Bridge Road  #03-22 ,23,Strata,310000,13478,1252,14-MAY-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
HIGH STREET CENTRE,1 North Bridge Road  #03-26 ,45,Strata,530000,11778,1094,10-MAY-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
HIGH STREET CENTRE,1 North Bridge Road  #B1-46 ,45,Strata,436000,9689,900,08-MAY-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
CITY GATE,371 Beach Road  #B1-63 ,45,Strata,1871000,41578,3863,07-MAY-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #02-24D ,56,Strata,1500000,26786,2488,04-MAY-2018,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #02-52 ,45,Strata,2008000,44622,4146,02-MAY-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #02-21/21A/21B/21C ,163,Strata,1929988,11840,1100,27-APR-2018,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #04-04 ,42,Strata,600000,14286,1327,25-APR-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #02-50 ,17,Strata,260000,15294,1421,20-APR-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
ORCHARD PLAZA,150 Orchard Road  #04-20 ,45,Strata,890000,19778,1837,19-APR-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
INTERNATIONAL PLAZA,10 Anson Road  #01-34 ,14,Strata,1320000,94286,8759,17-APR-2018,Retail,99 Yrs From 02/06/1970,Resale,02,07,079903,Central Region,Downtown Core
MAYSPRINGS,2 Petir Road  #01-16 ,44,Strata,1400000,31818,2956,16-APR-2018,Retail,99 Yrs From 01/12/1994,Resale,23,67,678265,West Region,Bukit Panjang
PEACE CENTRE/MANSIONS,1 Sophia Road  #01-16 ,35,Strata,750000,21429,1991,12-APR-2018,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
FOOK HAI BUILDING,150 South Bridge Road  #03-05 ,18,Strata,308000,17111,1590,09-APR-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
GOLDEN MILE TOWER,6001 Beach Road  #02-08 ,24,Strata,345000,14375,1335,06-APR-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CONCORDE SHOPPING CENTRE,317 Outram Road  #02-18 ,28,Strata,390000,13929,1294,03-APR-2018,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
SQUARE 2,10 Sinaran Drive  #11-14 ,89,Strata,2900000,32584,3027,02-APR-2018,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
PEOPLE'S PARK COMPLEX,1 Park Road  #02-69 ,29,Strata,1080000,37241,3460,29-MAR-2018,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #02-14 ,40,Strata,710000,17750,1649,29-MAR-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-10 ,132,Strata,2060450,15609,1450,27-MAR-2018,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
THE RIVERSIDE PIAZZA,11 Keng Cheow Street  #01-09 ,168,Strata,2621600,15605,1450,27-MAR-2018,Retail,99 Yrs From 02/10/1992,Resale,01,05,059608,Central Region,Singapore River
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17D ,44,Strata,1000000,22727,2111,26-MAR-2018,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #05-01 ,42,Strata,700000,16667,1548,26-MAR-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
AQUARIUS BY THE PARK,1 Bedok Reservoir View  #01-06 ,21,Strata,468000,22286,2070,23-MAR-2018,Retail,99 Yrs From 12/06/1996,Resale,16,47,478926,East Region,Bedok
SIM LIM SQUARE,1 Rochor Canal Road  #04-09 ,36,Strata,800000,22222,2064,15-MAR-2018,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
CITY GATE,371 Beach Road  #02-19 ,35,Strata,1511000,43171,4011,01-MAR-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-50 ,55,Strata,2039000,37073,3444,28-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-K26A ,10,Strata,300000,30000,2787,26-FEB-2018,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-17 ,38,Strata,1000000,26316,2445,26-FEB-2018,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
THE PLAZA,7500A Beach Road  #04-323 ,101,Strata,1100000,10891,1012,26-FEB-2018,Retail,99 Yrs From 03/09/1968,Resale,07,19,199591,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-48 ,55,Strata,2069100,37620,3495,26-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-60 ,39,Strata,1448250,37135,3450,21-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
GOLDEN MILE COMPLEX,5001 Beach Road  #02-94A ,6,Strata,170000,28333,2632,19-FEB-2018,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
CITY GATE,371 Beach Road  #01-32 ,46,Strata,2084000,45304,4209,13-FEB-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #05-52 ,33,Strata,1880000,56970,5293,13-FEB-2018,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #B1-17C ,35,Strata,850000,24286,2256,13-FEB-2018,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
ORCHARD PLAZA,150 Orchard Road  #02-24 ,27,Strata,500000,18519,1720,12-FEB-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
FOOK HAI BUILDING,150 South Bridge Road  #02-21 ,31,Strata,590000,19032,1768,06-FEB-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
PARKLANE SHOPPING MALL,35 Selegie Road  #04-02 ,42,Strata,600000,14286,1327,01-FEB-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
CITY GATE,371 Beach Road  #B1-39 ,37,Strata,1193000,32243,2995,31-JAN-2018,Retail,99 Yrs From 15/04/2014,Sub Sale,07,19,199597,Central Region,Kallang
ORCHID HOTEL,1 Tras Link  #02-01 ,83,Strata,1950000,23494,2183,30-JAN-2018,Retail,99 Yrs From 02/10/2007,Resale,02,07,078867,Central Region,Outram
THE ARCADE,11 Collyer Quay  #02-30 ,6,Strata,800000,133333,12387,24-JAN-2018,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
GOLDEN MILE TOWER,6001 Beach Road  #02-08 ,24,Strata,293000,12208,1134,10-JAN-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
GOLDEN MILE COMPLEX,5001 Beach Road  #01-65A ,18,Strata,360000,20000,1858,10-JAN-2018,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #02-62 ,18,Strata,230000,12778,1187,27-DEC-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #02-15 ,92,Strata,1060000,11522,1070,22-DEC-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
PARKLANE SHOPPING MALL,35 Selegie Road  #03-18 ,37,Strata,600000,16216,1507,21-DEC-2017,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #03-50 ,18,Strata,300000,16667,1548,19-DEC-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
CITY GATE,371 Beach Road  #B1-43 ,49,Strata,1995000,40714,3782,13-DEC-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #B1-07 ,32,Strata,868000,27125,2520,13-DEC-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #03-32 ,88,Strata,900000,10227,950,11-DEC-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
THE WOODGROVE,30 Woodlands Avenue 1  #02-01/03/09/12 ETC ,5144,Strata,55850000,10857,1009,05-DEC-2017,Retail,99 Yrs From 26/06/1996,Resale,25,73,739065,North Region,Woodlands
SIM LIM SQUARE,1 Rochor Canal Road  #05-13A ,74,Strata,1340000,18108,1682,03-DEC-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #02-64 ,31,Strata,435000,14032,1304,01-DEC-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
PEACE CENTRE/MANSIONS,1 Sophia Road  #02-09 ,27,Strata,436000,16148,1500,23-NOV-2017,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
AQUARIUS BY THE PARK,1 Bedok Reservoir View  #01-01 ,21,Strata,415000,19762,1836,14-NOV-2017,Retail,99 Yrs From 12/06/1996,Resale,16,47,478926,East Region,Bedok
SUNSHINE PLAZA,91 Bencoolen Street  #01-33 ,24,Strata,1086434,45268,4206,10-NOV-2017,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
THOMSON PLAZA,301 Upper Thomson Road  #01-85/86/87/88 ,1300,Strata,28000000,21538,2001,09-NOV-2017,Retail,99 Yrs From 15/10/1976,Resale,20,57,574408,Central Region,Bishan
CITY GATE,371 Beach Road  #B1-64 ,46,Strata,1827800,39735,3691,09-NOV-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
CITY GATE,371 Beach Road  #01-31 ,47,Strata,1972200,41962,3898,06-NOV-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
GOLDEN MILE COMPLEX,5001 Beach Road  #02-80E ,18,Strata,265000,14722,1368,03-NOV-2017,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #02-14 ,38,Strata,908000,23895,2220,31-OCT-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #01-29 ,39,Strata,1418000,36359,3378,30-OCT-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-40 ,29,Strata,899000,31000,2880,30-OCT-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
PARKLANE SHOPPING MALL,35 Selegie Road  #01-15 ,32,Strata,805000,25156,2337,30-OCT-2017,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
PEACE CENTRE/MANSIONS,1 Sophia Road  #02-19 ,26,Strata,520000,20000,1858,27-OCT-2017,Retail,99 Yrs From 02/06/1970,Resale,09,22,228149,Central Region,Rochor
TEXTILE CENTRE,200 Jalan Sultan  #03-11 ,93,Strata,950950,10225,950,26-OCT-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
SQUARE 2,10 Sinaran Drive  #09-06 ,65,Strata,2500000,38462,3573,10-OCT-2017,Retail,99 Yrs From 28/08/2002,Resale,11,30,307506,Central Region,Novena
JUNCTION NINE,18 Yishun Avenue 9  #01-62 ,16,Strata,828000,51750,4808,09-OCT-2017,Retail,99 Yrs From 30/04/2013,Sub Sale,27,76,768897,North Region,Yishun
HIGH STREET CENTRE,1 North Bridge Road  #03-01 ,60,Strata,835000,13917,1293,09-OCT-2017,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
HAVELOCK2,2 Havelock Road  #01-34 ,24,Strata,1078500,44938,4175,06-OCT-2017,Retail,99 Yrs From 04/05/1983,Resale,01,05,059763,Central Region,Singapore River
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-52B ,56,Strata,1500000,26786,2488,04-OCT-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-52 ,139,Strata,2632800,18941,1760,04-OCT-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CITY GATE,371 Beach Road  #B1-47 ,33,Strata,1406000,42606,3958,03-OCT-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
SINGAPORE SHOPPING CENTRE,190 Clemenceau Avenue  #03-23 ,15,Strata,219000,14600,1356,28-SEP-2017,Retail,99 Yrs From 01/05/1948,Resale,09,23,239924,Central Region,Museum
BURLINGTON SQUARE,175 Bencoolen Street  #01-55 ,38,Strata,1150000,30263,2812,26-SEP-2017,Retail,99 Yrs From 10/06/1996,Resale,07,18,189649,Central Region,Rochor
BUKIT TIMAH PLAZA,1 Jalan Anak Bukit  #B1-43 ,28,Strata,830000,29643,2754,25-SEP-2017,Retail,99 Yrs From 30/08/1976,Resale,21,58,588996,Central Region,Bukit Timah
CONCORDE HOTEL AND SHOPPING MALL,100 Orchard Road  #02-17/18 ,228,Strata,3900000,17105,1589,22-SEP-2017,Retail,99 Yrs From 17/08/1979,Resale,09,23,238840,Central Region,Orchard
GOLDEN MILE TOWER,6001 Beach Road  #B1-23 ,27,Strata,400000,14815,1376,20-SEP-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CITY GATE,371 Beach Road  #02-25 ,40,Strata,1688000,42200,3920,20-SEP-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #B1-64 ,17,Strata,400000,23529,2186,18-SEP-2017,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #04-11 ,53,Strata,1500000,28302,2629,15-SEP-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SULTAN PLAZA,100 Jalan Sultan  #03-54 ,57,Strata,830000,14561,1353,15-SEP-2017,Retail,99 Yrs From 02/05/1978,Resale,07,19,199001,Central Region,Kallang
CITY GATE,371 Beach Road  #02-24 ,38,Strata,1541000,40553,3767,08-SEP-2017,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
TEXTILE CENTRE,200 Jalan Sultan  #01-32 ,86,Strata,1080000,12558,1167,06-SEP-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
ORCHARD PLAZA,150 Orchard Road  #03-73 ,19,Strata,500000,26316,2445,06-SEP-2017,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
SIM LIM SQUARE,1 Rochor Canal Road  #06-61 ,32,Strata,1794000,56063,5208,05-SEP-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
SIM LIM SQUARE,1 Rochor Canal Road  #01-32 ,22,Strata,1100000,50000,4645,31-AUG-2017,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
FU LU SHOU COMPLEX,149 Rochor Road  #03-06 ,46,Strata,955000,20761,1929,28-AUG-2017,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
ROYAL SQUARE AT NOVENA,103 Irrawaddy Road  #02-20 ,57,Strata,3680000,64561,5998,25-AUG-2017,Retail,99 Yrs From 06/03/2013,New Sale,12,32,329566,Central Region,Novena
TEXTILE CENTRE,200 Jalan Sultan  #01-34 ,83,Strata,1080000,13012,1209,24-AUG-2017,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
CONCORDE SHOPPING CENTRE,317 Outram Road  #B1-18 ,26,Strata,360000,13846,1286,24-AUG-2017,Retail,99 Yrs From 16/06/1980,Resale,03,16,169075,Central Region,Bukit Merah
