Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SIM LIM SQUARE,1 Rochor Canal Road  #02-08 ,38,Strata,1080000,28421,2640,22-OCT-2018,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
D'LEEDON,19 Leedon Heights  #01-65 ,127,Strata,2100000,16535,1536,16-OCT-2018,Retail,99 Yrs From 08/04/2010,Resale,10,26,266227,Central Region,Bukit Timah
PARKLANE SHOPPING MALL,35 Selegie Road  #04-03 ,42,Strata,610000,14524,1349,08-OCT-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
THE PLAZA,7500A Beach Road  #01-339 ,27,Strata,650000,24074,2237,01-OCT-2018,Retail,99 Yrs From 03/09/1968,Resale,07,19,199591,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road  #01-58 ,19,Strata,429000,22579,2098,21-SEP-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
FOOK HAI BUILDING,150 South Bridge Road  #01-17 ,60,Strata,2500000,41667,3871,18-SEP-2018,Retail,99 Yrs From 18/01/1972,Resale,01,05,058727,Central Region,Outram
STARS OF KOVAN,988 Upper Serangoon Road  #01-28 ,39,Strata,1980740,50788,4718,11-SEP-2018,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
SUNSHINE PLAZA,91 Bencoolen Street  #06-01 ,50,Strata,1030270,20605,1914,11-SEP-2018,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
FORTUNE CENTRE,190 Middle Road  #04-23 ,38,Strata,800000,21053,1956,10-SEP-2018,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #B1-62 ,35,Strata,580000,16571,1540,10-SEP-2018,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
CITY GATE,371 Beach Road  #02-23 ,40,Strata,1751200,43780,4067,07-SEP-2018,Retail,99 Yrs From 15/04/2014,New Sale,07,19,199597,Central Region,Kallang
THE ARCADE,11 Collyer Quay  #01-20 ,16,Strata,2600000,162500,15097,04-SEP-2018,Retail,99 Yrs From 01/10/1979,Resale,01,04,049317,Central Region,Downtown Core
ONE-NORTH RESIDENCES,9 One-North Gateway  #01-48 ,34,Strata,838000,24647,2290,04-SEP-2018,Retail,99 Yrs From 15/09/2005,Resale,05,13,138643,Central Region,Queenstown
STARS OF KOVAN,988 Upper Serangoon Road  #01-05 ,48,Strata,3319340,69153,6424,29-AUG-2018,Retail,99 Yrs From 25/02/2015,New Sale,19,53,534733,North East Region,Hougang
CUPPAGE PLAZA,5 Koek Road  #04-11 ,37,Strata,745000,20135,1871,23-AUG-2018,Retail,99 Yrs From 17/08/1979,Resale,09,22,228796,Central Region,Orchard
CUPPAGE PLAZA,5 Koek Road  #04-10 ,32,Strata,745000,23281,2163,23-AUG-2018,Retail,99 Yrs From 17/08/1979,Resale,09,22,228796,Central Region,Orchard
CUPPAGE PLAZA,5 Koek Road  #04-09 ,32,Strata,745000,23281,2163,23-AUG-2018,Retail,99 Yrs From 17/08/1979,Resale,09,22,228796,Central Region,Orchard
CUPPAGE PLAZA,5 Koek Road  #04-08 ,38,Strata,745000,19605,1821,23-AUG-2018,Retail,99 Yrs From 17/08/1979,Resale,09,22,228796,Central Region,Orchard
FORTUNE CENTRE,190 Middle Road  #02-01 ,52,Strata,1310000,25192,2340,31-JUL-2018,Retail,99 Yrs From 18/10/1980,Resale,07,18,188979,Central Region,Rochor
PEOPLE'S PARK COMPLEX,1 Park Road  #01-34 ,42,Strata,2625000,62500,5806,25-JUL-2018,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
ORCHID HOTEL,1 Tras Link  #01-16 ,109,Strata,6750000,61927,5753,24-JUL-2018,Retail,99 Yrs From 02/10/2007,Resale,02,07,078867,Central Region,Outram
ORCHARD PLAZA,150 Orchard Road  #02-15 ,22,Strata,540000,24545,2280,23-JUL-2018,Retail,99 Yrs From 02/06/1977,Resale,09,23,238841,Central Region,Orchard
PARKLANE SHOPPING MALL,35 Selegie Road  #01-09 ,70,Strata,2580000,36857,3424,23-JUL-2018,Retail,99 Yrs From 01/12/1974,Resale,07,18,188307,Central Region,Rochor
HIGH STREET CENTRE,1 North Bridge Road  #02-37 ,45,Strata,600000,13333,1239,18-JUL-2018,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
JUNCTION NINE,18 Yishun Avenue 9  #01-28 ,32,Strata,1110000,34688,3223,18-JUL-2018,Retail,99 Yrs From 30/04/2013,Resale,27,76,768897,North Region,Yishun
CONCORDE HOTEL AND SHOPPING MALL,100 Orchard Road  #02-08 ,44,Strata,1800000,40909,3801,18-JUL-2018,Retail,99 Yrs From 17/08/1979,Resale,09,23,238840,Central Region,Orchard
THE INTERLACE,180 Depot Road  #01-03 ,53,Strata,830000,15660,1455,16-JUL-2018,Retail,99 Yrs From 11/02/2009,Resale,04,10,109684,Central Region,Bukit Merah
SUNSHINE PLAZA,91 Bencoolen Street  #01-46 ,22,Strata,790000,35909,3336,13-JUL-2018,Retail,99 Yrs From 19/03/1997,Resale,07,18,189652,Central Region,Rochor
