Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
TEXTILE CENTRE,200 Jalan Sultan  #03-10 ,73,Strata,410000,5616,522,04-MAY-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #03-19 ,29,Strata,438000,15103,1403,03-MAY-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
FU LU SHOU COMPLEX,149 Rochor Road  #03-20 ,29,Strata,434888,14996,1393,03-MAY-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
GOLDEN MILE TOWER,6001 Beach Road  #01-46 ,69,Strata,820000,11884,1104,29-APR-2010,Retail,99 Yrs From 09/06/1969,Resale,07,19,199589,Central Region,Kallang
FU LU SHOU COMPLEX,149 Rochor Road  #B1-25 ,38,Strata,750000,19737,1834,28-APR-2010,Retail,99 Yrs From 16/06/1980,Resale,07,18,188425,Central Region,Rochor
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #03-K16 ,9,Strata,165001,18333,1703,26-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
TEXTILE CENTRE,200 Jalan Sultan  #03-05 ,76,Strata,470000,6184,575,23-APR-2010,Retail,99 Yrs From 02/06/1970,Resale,07,19,199018,Central Region,Kallang
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-14 ,25,Strata,498000,19920,1851,23-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #02-06 ,132,Strata,1932000,14636,1360,23-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
HIGH STREET CENTRE,1 North Bridge Road  #01-48 ,29,Strata,350000,12069,1121,22-APR-2010,Retail,99 Yrs From 02/06/1969,Resale,06,17,179094,Central Region,Downtown Core
BEAUTY WORLD CENTRE,144 Upper Bukit Timah Road  #B1-17 ,44,Strata,610000,13864,1288,21-APR-2010,Retail,99 Yrs From 18/09/1979,Resale,21,58,588177,Central Region,Bukit Timah
PEOPLE'S PARK CENTRE,101 Upper Cross Street  #02-56 ,158,Strata,3280000,20759,1929,20-APR-2010,Retail,99 Yrs From 02/06/1970,Resale,01,05,058357,Central Region,Outram
PEOPLE'S PARK COMPLEX,1 Park Road  #03-30 ,29,Strata,480000,16552,1538,19-APR-2010,Retail,99 Yrs From 25/03/1968,Resale,01,05,059108,Central Region,Outram
SIM LIM SQUARE,1 Rochor Canal Road  #03-13 ,51,Strata,868000,17020,1581,16-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
GOLDEN MILE COMPLEX,5001 Beach Road  #02-35 ,23,Strata,338000,14696,1365,16-APR-2010,Retail,99 Yrs From 04/08/1969,Resale,07,19,199588,Central Region,Kallang
SIM LIM SQUARE,1 Rochor Canal Road  #B1-03/04 ,70,Strata,1320000,18857,1752,15-APR-2010,Retail,99 Yrs From 08/04/1983,Resale,07,18,188504,Central Region,Rochor
